"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","SauceDemo Product Detail","2","0","","0"
"0","","0","SauceDemo Login","2","0","","0"
"0","","0","SauceDemo Cart","2","0","","0"
